226,217,158
233,222,166
222,211,157
188,180,117
213,205,133
227,220,148
229,222,150
233,229,156
237,233,160
241,237,166
252,245,175
240,231,164
249,240,175
243,231,171
205,193,135
212,204,131
226,221,139
235,230,149
235,232,151
238,237,155
237,239,156
236,237,157
239,240,160
237,235,158
239,235,161
245,237,165
239,228,162
240,226,163
233,217,157
203,183,124
220,205,138
233,228,146
235,235,145
234,237,148
233,238,148
233,242,151
232,243,151
229,239,150
228,238,151
232,242,155
229,234,150
238,239,159
244,238,160
245,233,159
249,232,162
246,226,157
199,188,126
183,196,143
212,192,129
226,206,137
237,224,146
235,233,146
232,237,143
232,237,143
231,238,143
231,238,145
229,238,145
228,239,147
229,240,148
224,234,145
224,233,144
232,235,148
243,238,154
244,233,153
246,229,151
253,231,155
235,220,151
205,213,156
189,179,117
216,197,128
230,214,137
234,223,141
231,231,141
226,231,137
227,230,139
231,231,141
231,231,141
232,231,141
232,232,144
232,232,144
233,233,145
237,237,149
237,233,146
242,234,149
242,230,146
240,223,141
247,226,145
245,231,158
223,224,166
188,200,150
183,183,129
207,192,127
227,207,134
237,220,140
230,218,134
237,231,145
231,227,140
230,224,138
234,226,141
237,227,142
237,227,142
234,224,139
231,221,136
231,221,136
236,226,141
233,218,133
236,220,135
237,219,135
241,220,137
244,222,137
238,219,143
232,222,161
203,200,147
153,150,109
199,189,138
225,201,137
233,205,131
232,209,131
233,212,133
237,215,139
237,215,140
236,214,139
236,214,138
233,214,137
233,214,135
234,213,134
234,213,132
238,215,135
237,215,132
238,211,130
239,212,131
242,215,134
245,218,137
245,218,137
245,217,143
246,218,153
225,199,142
164,150,111
212,191,144
228,197,133
236,200,126
238,206,131
238,206,133
242,207,139
241,206,138
240,207,138
240,207,136
237,207,134
236,209,132
236,207,131
238,206,129
240,207,128
240,204,126
240,203,125
241,204,126
242,206,128
242,209,130
242,209,130
242,208,134
250,211,144
242,202,141
243,203,144
181,156,116
225,194,147
233,193,131
238,194,123
244,201,132
241,198,130
244,199,132
244,199,132
243,200,132
240,200,130
239,201,130
239,201,128
239,199,127
241,199,125
241,197,122
241,195,120
240,192,120
240,193,121
240,196,123
241,199,125
239,201,126
238,200,127
244,201,133
247,201,139
254,208,148
198,160,121
232,192,143
237,189,127
244,191,125
248,194,130
244,190,126
246,192,128
246,193,127
243,194,127
242,195,125
241,194,124
241,194,122
242,194,122
243,193,122
243,186,115
242,183,113
241,182,114
242,185,116
243,189,119
242,192,123
242,193,124
242,193,126
245,194,128
250,196,132
255,202,142
210,162,122
233,182,135
242,183,125
249,188,125
250,185,127
246,181,123
246,186,123
245,188,121
245,188,121
243,189,119
244,190,120
244,190,118
247,188,118
248,188,118
242,175,107
242,173,106
243,172,108
244,174,112
247,179,116
247,183,121
247,186,123
246,186,123
251,190,127
253,191,130
255,194,137
206,169,114
210,161,121
228,176,129
242,180,123
252,182,122
250,177,122
247,176,120
246,181,117
245,182,115
245,182,115
246,183,116
244,184,114
246,183,114
248,183,115
251,182,115
241,167,102
241,166,101
243,165,103
245,166,107
247,171,113
249,174,116
249,177,119
248,178,119
247,177,118
250,181,124
254,187,132
206,165,113
201,157,120
226,175,132
240,175,121
250,175,118
250,173,119
249,172,116
245,173,114
245,175,113
245,176,111
245,176,111
246,177,110
246,177,110
248,177,111
250,176,111
247,169,105
246,166,103
245,165,104
245,165,106
249,167,111
250,169,113
251,170,114
248,171,115
238,165,110
241,171,119
249,182,130
205,163,113
190,156,121
223,178,137
238,172,120
249,170,114
252,171,116
251,170,115
247,168,111
247,168,109
248,169,110
248,170,108
249,171,109
249,171,107
250,172,108
251,171,108
253,173,110
250,170,107
249,167,107
249,167,107
252,167,110
254,169,114
254,167,113
250,169,114
237,167,115
234,172,121
242,182,132
201,165,117
216,181,141
235,169,119
247,165,109
254,169,114
255,172,115
247,162,107
248,161,107
248,161,107
250,161,105
250,161,105
248,162,103
248,162,103
247,163,103
250,168,108
251,169,109
252,170,110
253,171,111
252,167,110
251,165,108
246,155,102
242,161,108
229,172,119
218,175,124
233,190,139
204,174,136
233,165,118
248,158,106
252,161,106
255,165,110
251,159,108
251,159,108
253,159,108
254,158,107
254,158,107
253,159,105
253,159,105
251,160,103
252,166,107
249,165,105
252,166,107
253,167,110
251,162,106
253,162,107
255,161,110
249,169,118
216,175,123
180,159,106
199,178,125
201,175,140
235,162,119
255,161,111
255,160,107
255,158,105
251,157,106
251,156,108
252,156,108
253,155,106
253,155,106
253,156,105
253,156,105
252,157,103
255,165,111
254,163,108
255,165,111
255,162,110
249,153,102
250,153,102
255,155,107
234,158,109
211,190,137
161,166,112
191,171,138
225,153,115
255,157,112
254,156,107
253,156,105
251,155,107
251,154,109
252,154,107
254,153,107
254,154,105
